"ActualValue","Commandlet","Criticality","PolicyId","ReportDetails","RequirementMet"
"""""","Get-MgBetaSubscribedSku, Get-PrivilegedUser","Shall","MS.AAD.7.3v1","0 admin(s) that are not cloud-only found","True"
,"","Shall/Not-Implemented","MS.AAD.3.3v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad33v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Shall/Not-Implemented","MS.AAD.3.5v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad35v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Shall/Not-Implemented","MS.AAD.4.1v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Shall/Not-Implemented","MS.AAD.6.1v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad61v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Shall/Not-Implemented","MS.AAD.7.2v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad72v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.AAD.2.2v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad22v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.AAD.8.3v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/aad.md#msaad83v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
"""migrationComplete""","Get-MgBetaPolicyAuthenticationMethodPolicy","Shall","MS.AAD.3.4v1","Requirement met","True"
"{""all_allow_invite_values"":[{""AllowInvitesFromValue"":""adminsAndGuestInviters"",""PolicyId"":""authorizationPolicy""}]}","Get-MgBetaPolicyAuthorizationPolicy","Should","MS.AAD.8.2v1","Permission level set to ""adminsAndGuestInviters"" (authorizationPolicy)","True"
"{""all_allowed_create_values"":[{""DefaultUser_AllowedToCreateApps"":false,""PolicyId"":""authorizationPolicy""}]}","Get-MgBetaPolicyAuthorizationPolicy","Shall","MS.AAD.5.1v1","0 authorization policies found that allow non-admin users to register third-party applications","True"
"{""all_consent_policies"":[{""IsEnabled"":false,""PolicyId"":null}]}","Get-MgBetaPolicyAdminConsentRequestPolicy","Shall","MS.AAD.5.3v1","Requirement not met","False"
"{""all_grant_policy_values"":[{""DefaultUser_DefaultGrantPolicy"":[""ManagePermissionGrantsForSelf.microsoft-user-default-legacy""],""PolicyId"":""authorizationPolicy""}]}","Get-MgBetaPolicyAuthorizationPolicy","Shall","MS.AAD.5.2v1","1 authorization policies found that allow non-admin users to consent to third-party applications:<br/>authorizationPolicy","False"
"{""all_roleid_values"":[{""GuestUserRoleId"":""10dae51f-b6af-4016-8d66-8c2a99b929b3"",""GuestUserRoleIdString"":""Limited access"",""Id"":""authorizationPolicy""}]}","Get-MgBetaPolicyAuthorizationPolicy","Should","MS.AAD.8.1v1","Permission level set to ""Limited access"" (authorizationPolicy)","True"
,"Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.3.1v1","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","False"
,"Get-MgBetaIdentityConditionalAccessPolicy","Should","MS.AAD.3.7v1","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","False"
,"Get-MgBetaIdentityConditionalAccessPolicy","Should","MS.AAD.3.8v1","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","False"
,"Get-MgBetaSubscribedSku, Get-PrivilegedRole, Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.AAD.3.6v1","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","False"
"[""Application Administrator"",""Cloud Application Administrator"",""Exchange Administrator"",""Global Administrator"",""Hybrid Identity Administrator"",""Privileged Role Administrator"",""SharePoint Administrator""]","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Shall","MS.AAD.7.5v1","7 role(s) assigned to users outside of PIM:<br/>Application Administrator, Cloud Application Administrator, Exchange Administrator, Global Administrator, Hybrid Identity Administrator, Privileged Role Administrator, SharePoint Administrator","False"
"[""Application Administrator"",""Cloud Application Administrator"",""Exchange Administrator"",""Global Administrator"",""Hybrid Identity Administrator"",""Privileged Role Administrator"",""SharePoint Administrator"",""User Administrator""]","Get-MgBetaSubscribedSku, Get-PrivilegedRole","Shall","MS.AAD.7.4v1","8 role(s) that contain users with permanent active assignment:<br/>Application Administrator, Cloud Application Administrator, Exchange Administrator, Global Administrator, Hybrid Identity Administrator, Privileged Role Administrator, SharePoint Administrator, User Administrator","False"
